Nombre,Apellidos,Email,Telefono,Roles
Marie,Curie Mendel,cume@g.educaand.es,1039184361,"Docente"
Nikola,Newton Tesla,nete@g.educaand.es,109109517,"Docente,Administrador,Conserje"
Stephen,Darwin Hawking,daha@g.educaand.es,176015994,"Docente,Administrador"
Gregor,Silber Mendel,sime@g.educaand.es,704166211,"Docente,Administrador,Conserje"
Nicolaus,Silber Copernicus,sico@g.educaand.es,244036813,"Docente,Administrador,Conserje"
Johannes,Silber Mendeleev,sime@g.educaand.es,458757280,"Docente,Administrador,Conserje"
Richard,Silber Galilei,siga@g.educaand.es,741839186,"Docente,Administrador,Conserje"
Marie,Silber Curie,sicu@g.educaand.es,307803551,"Docente,Administrador"
Isaac,Nadella Hawking,naha@g.educaand.es,119922223,"Docente,Administrador"
Gregor,Nadella Mendel,name@g.educaand.es,269537473,"Docente,Administrador"
Charles,Nadella Pasteur,napa@g.educaand.es,705912486,"Docente,Administrador"
Johannes,Nadella Kepler,nake@g.educaand.es,816521281,"Docente"
Dmitri,Nadella Mendeleev,name@g.educaand.es,822961948,"Docente"
Pasteur,Altman Louis,allo@g.educaand.es,350746363,"Docente,Administrador,Conserje"
Stephen,Altman Einstein,alei@g.educaand.es,681187780,"Docente"
Galileo,Altman Newton,alne@g.educaand.es,945197747,"Docente,Administrador,Conserje"
Johannes,Altman Kepler,alke@g.educaand.es,982369712,"Docente,Administrador,Conserje"
Richard,Altman Mendel,alme@g.educaand.es,390244506,"Docente,Administrador,Conserje"
Marie,Perkins Curie,pecu@g.educaand.es,819723113,"Docente,Administrador"
Isaac,Perkins Newton,pene@g.educaand.es,240443040,"Docente,Administrador,Conserje"
Gregor,Perkins Pasteur,pepa@g.educaand.es,377416330,"Docente,Administrador"
Albert,Perkins Galilei,pega@g.educaand.es,995816824,"Docente"
Charles,Perkins Copernicus,peco@g.educaand.es,138603697,"Docente"
Nicolaus,Rubio Galilei,ruga@g.educaand.es,771403551,"Docente,Administrador,Conserje"
Richard,Rubio Galilei,ruga@g.educaand.es,796096066,"Docente"
Kepler,Rubio Johannes,rujo@g.educaand.es,809835572,"Docente,Administrador"
Pasteur,Rubio Louis,rulo@g.educaand.es,826392855,"Docente,Administrador,Conserje"
Hawking,Rubio Stephen,rust@g.educaand.es,973947832,"Docente"
Galileo,Page Newton,pane@g.educaand.es,735651126,"Docente,Administrador,Conserje"
Richard,Page Mendeleev,pame@g.educaand.es,919882976,"Docente"
Curie,Page Marie,pama@g.educaand.es,315268755,"Docente"
Newton,Page Isaac,pais@g.educaand.es,995889973,"Docente,Administrador,Conserje"
Pasteur,Page Gregor,pagr@g.educaand.es,855109968,"Docente,Administrador,Conserje"
Albert,Bezos Galilei,bega@g.educaand.es,1037989676,"Docente"
Charles,Bezos Copernicus,beco@g.educaand.es,154003720,"Docente,Administrador"
Nicolaus,Bezos Mendeleev,beme@g.educaand.es,140906850,"Docente"
Richard,Bezos Galilei,bega@g.educaand.es,339996319,"Docente"
Kepler,Bezos Johannes,bejo@g.educaand.es,171144826,"Docente,Administrador"
Pasteur,Musk Louis,mulo@g.educaand.es,966941834,"Docente,Administrador,Conserje"
Hawking,Musk Stephen,must@g.educaand.es,258805586,"Docente,Administrador"
Galileo,Musk Newton,mune@g.educaand.es,589364709,"Docente,Administrador"
Richard,Musk Mendeleev,mume@g.educaand.es,755734746,"Docente,Administrador,Conserje"
Curie,Musk Marie,muma@g.educaand.es,1034131451,"Docente"
Newton,Turing Isaac,tuis@g.educaand.es,179797173,"Docente,Administrador,Conserje"
Pasteur,Turing Gregor,tugr@g.educaand.es,885318881,"Docente,Administrador,Conserje"
Albert,Turing Galilei,tuga@g.educaand.es,478565824,"Docente,Administrador,Conserje"
Charles,Turing Copernicus,tuco@g.educaand.es,277768739,"Docente,Administrador"
Nikolaus,Turing Galilei,tuga@g.educaand.es,540432847,"Docente,Administrador,Conserje"
Richard,Gates Galilei,gaga@g.educaand.es,955169558,"Docente,Administrador,Conserje"
Kepler,Gates Johannes,gajo@g.educaand.es,257128334,"Docente"
Pasteur,Gates Louis,galo@g.educaand.es,690108480,"Docente,Administrador"
Hawking,Gates Stephen,gast@g.educaand.es,598859276,"Docente,Administrador"
Galileo,Gates Newton,gane@g.educaand.es,586387303,"Docente,Administrador,Conserje"
Richard,Gates Mendeleev,game@g.educaand.es,101756997,"Docente,Administrador,Conserje"
Curie,Jobs Marie,joma@g.educaand.es,487998339,"Docente"
Newton,Jobs Isaac,jois@g.educaand.es,887048741,"Docente"
Pasteur,Jobs Gregor,jogr@g.educaand.es,704507391,"Docente,Administrador,Conserje"
Albert,Jobs Galilei,joga@g.educaand.es,832344948,"Docente,Administrador,Conserje"
Charles,Jobs Copernicus,joco@g.educaand.es,529193076,"Docente"
Nikolaus,Copernicus Galilei,coga@g.educaand.es,797660822,"Docente,Administrador"
Richard,Jobs Galilei,joga@g.educaand.es,574142321,"Docente,Administrador,Conserje"
Kepler,Curie Johannes,cujo@g.educaand.es,872267121,"Docente,Administrador,Conserje"
Pasteur,Newton Louis,nelo@g.educaand.es,775604694,"Docente,Administrador"
Hawking,Einstein Stephen,eist@g.educaand.es,453191587,"Docente,Administrador,Conserje"
Galileo,Tesla Newton,tene@g.educaand.es,1033258593,"Docente,Administrador"
Richard,Feynman Mendeleev,feme@g.educaand.es,592169324,"Docente"
Curie,Hawking Marie,hama@g.educaand.es,838644847,"Docente,Administrador"
Newton,Darwin Isaac,dais@g.educaand.es,455066607,"Docente,Administrador,Conserje"
Pasteur,Mendel Gregor,megr@g.educaand.es,920873969,"Docente"
Albert,Einstein Galilei,eiga@g.educaand.es,926279335,"Docente,Administrador,Conserje"
Charles,Darwin Copernicus,daco@g.educaand.es,891815831,"Docente"
Nicolaus,Copernicus Mendeleev,come@g.educaand.es,360334158,"Docente"
Richard,Feynman Galilei,fega@g.educaand.es,108331159,"Docente"
